4.00157700106502,VerticalRain
5.03596579842269,StartTriangleV1
5.91007379256189,StopTriangleV1
6.64290108345449,StartTriangleV1
7.1559573803097,VerticalRain
7.60870207287371,StopTriangleV1
8.97279947064817,StartSwarmV3
70.0316571760923,StopSwarmV3
80.3243779521436,OnRotateScene,Value=0.1102362
80.3243779521436,OnRotateScene,Value=0.1181102
80.3243779521436,OnRotateScene,Value=0.1259843
80.3243779521436,OnRotateScene,Value=0.1338583
80.7020310554653,OnRotateScene,Value=0.2677166
81.0998776573688,OnRotateScene,Value=0.2913386
81.4890016634017,OnRotateScene,Value=0.3622047
81.4890016634017,OnRotateScene,Value=0.3700787
82.2006306555122,OnRotateScene,Value=0.3622047
82.2006306555122,OnRotateScene,Value=0.3543307
83.6730416510254,OnRotateScene,Value=0.1181102
83.6730416510254,OnRotateScene,Value=0.1102362
83.6730416510254,OnRotateScene,Value=0.1023622
83.6730416510254,OnRotateScene,Value=0.09448819
83.6730416510254,OnRotateScene,Value=0.08661418
83.6730416510254,OnRotateScene,Value=0.07874016
83.6730416510254,OnRotateScene,Value=0.07086615
83.6730416510254,OnRotateScene,Value=0.06299213
83.6730416510254,OnRotateScene,Value=0.05511811
83.6730416510254,OnRotateScene,Value=0.04724409
83.6730416510254,OnRotateScene,Value=0.03937008
83.6730416510254,OnRotateScene,Value=0.03149607
83.6730416510254,OnRotateScene,Value=0.02362205
83.6730416510254,OnRotateScene,Value=0
86.1582989599556,OnRotateScene,Value=0.07874016
86.1582989599556,OnRotateScene,Value=0.08661418
86.1582989599556,OnRotateScene,Value=0.09448819
86.1582989599556,OnRotateScene,Value=0.1023622
86.5394321512431,OnRotateScene,Value=0.3464567
86.5394321512431,OnRotateScene,Value=0.3543307
86.5394321512431,OnRotateScene,Value=0.3622047
86.8815655540675,OnRotateScene,Value=0.4251969
88.3478515502065,OnRotateScene,Value=0.4330709
88.3478515502065,OnRotateScene,Value=0.4251969
88.3478515502065,OnRotateScene,Value=0.4173228
88.3478515502065,OnRotateScene,Value=0.4094488
88.5735320504755,NeonLine1
89.9628243576735,NeonLine2
93.2922964598984,OnRotateScene,Value=0.03149607
93.2922964598984,OnRotateScene,Value=0.02362205
93.2922964598984,OnRotateScene,Value=0.01574803
94.36642065458,OnRotateScene,Value=0.03149607
94.36642065458,OnRotateScene,Value=0.03937008
94.36642065458,OnRotateScene,Value=0.04724409
94.36642065458,OnRotateScene,Value=0.05511811
94.36642065458,OnRotateScene,Value=0.06299213
94.7250774558634,OnRotateScene,Value=0.2047244
94.7250774558634,OnRotateScene,Value=0.2125984
97.5938010606915,OnRotateScene,Value=0.3464567
97.5938010606915,OnRotateScene,Value=0.3543307
102.458170168102,OnRotateScene,Value=0.3622047
102.811467271298,OnRotateScene,Value=0.1653543
102.811467271298,OnRotateScene,Value=0.1574803
102.811467271298,OnRotateScene,Value=0.1496063
102.811467271298,OnRotateScene,Value=0.1417323
102.811467271298,OnRotateScene,Value=0.1338583
102.811467271298,OnRotateScene,Value=0.1259843
102.811467271298,OnRotateScene,Value=0.1181102
107.34504378587,OnRotateScene,Value=0.3070866
107.34504378587,OnRotateScene,Value=0.3149606
107.34504378587,OnRotateScene,Value=0.3228347
107.34504378587,OnRotateScene,Value=0.3307087
107.34504378587,OnRotateScene,Value=0.3385827
107.34504378587,OnRotateScene,Value=0.3464567
107.34504378587,OnRotateScene,Value=0.3543307
107.34504378587,OnRotateScene,Value=0.3622047
108.058819279075,OnRotateScene,Value=0.5748032
108.058819279075,OnRotateScene,Value=0.5669292
108.058819279075,OnRotateScene,Value=0.5590551
108.058819279075,OnRotateScene,Value=0.5511811
108.058819279075,OnRotateScene,Value=0.5433071
108.058819279075,OnRotateScene,Value=0.5354331
108.058819279075,OnRotateScene,Value=0.5275591
108.058819279075,OnRotateScene,Value=0.5196851
109.073276985437,OnRotateScene,Value=0.09448819
109.073276985437,OnRotateScene,Value=0.1023622
109.073276985437,OnRotateScene,Value=0.1102362
109.073276985437,OnRotateScene,Value=0.1181102
109.073276985437,OnRotateScene,Value=0.1259843
109.073276985437,OnRotateScene,Value=0.1338583
109.073276985437,OnRotateScene,Value=0.1417323
109.073276985437,OnRotateScene,Value=0.1496063
109.073276985437,OnRotateScene,Value=0.1574803
109.073276985437,OnRotateScene,Value=0.1653543
109.073276985437,OnRotateScene,Value=0.1732284
109.073276985437,OnRotateScene,Value=0.1811024
109.073276985437,OnRotateScene,Value=0.1968504
109.073276985437,OnRotateScene,Value=0.2047244
109.073276985437,OnRotateScene,Value=0.2125984
109.073276985437,OnRotateScene,Value=0.2204724
109.073276985437,OnRotateScene,Value=0.2283465
109.073276985437,OnRotateScene,Value=0.2362205
109.073276985437,OnRotateScene,Value=0.2440945
109.073276985437,OnRotateScene,Value=0.2598425
109.073276985437,OnRotateScene,Value=0.2677166
109.073276985437,OnRotateScene,Value=0.2755906
109.44311799109,OnRotateScene,Value=0.8425197
109.803848184645,OnRotateScene,Value=0.1181102
109.803848184645,OnRotateScene,Value=0.1102362
109.803848184645,OnRotateScene,Value=0.1023622
109.803848184645,OnRotateScene,Value=0.09448819
109.803848184645,OnRotateScene,Value=0.08661418
109.803848184645,OnRotateScene,Value=0.07874016
109.803848184645,OnRotateScene,Value=0.07086615
109.803848184645,OnRotateScene,Value=0.06299213
109.803848184645,OnRotateScene,Value=0.05511811
109.803848184645,OnRotateScene,Value=0.04724409
109.803848184645,OnRotateScene,Value=0.03149607
109.803848184645,OnRotateScene,Value=0.02362205
109.803848184645,OnRotateScene,Value=0.01574803
